ParticipantID,Task,UnixTime,CoordinateX,CoordinateY
135,3,1719586001517,206152.125133,-9306.3371
79,3,1715113750497,42948.976631,-3644.790248
16,1,1714055100311,204859.111022,-12711.283357
16,1,1714055177599,217089.666428,-8150.122084
87,1,1715296486368,326933.136657,-18610.947261
87,1,1715296488456,327292.893169,-18606.69102
87,1,1715296538582,326895.427317,-13514.896976
87,2,1715296755916,344865.022142,-9213.553141
87,3,1715296982581,334028.030147,-14119.412683
87,3,1715296985937,334027.431971,-13624.208202
173,3,1720287639435,43854.560212,-4184.128696
173,3,1720287684465,41837.616702,-3615.795299
225,2,1721065304518,246210.493104,-14737.244235
225,3,1721065394157,245484.310019,-13771.947493
225,3,1721065441622,251169.482709,-9144.292743
225,3,1721065481215,251116.389488,-12714.703112
225,3,1721065511673,256839.899839,-8799.835261
225,3,1721065559763,256144.365151,-10687.277616
225,3,1721065601438,252718.941302,-6699.487154
150,1,1719929795420,342089.260052,-14153.442606
150,1,1719929796254,342284.109408,-14300.782307
150,3,1719930187799,329687.654459,-21104.651612
69,3,1714904148851,341759.55442,-13969.450977
69,3,1714904150522,342174.503151,-14202.613214
84,1,1715271971552,82669.775023,-5123.947869
258,3,1721922997434,290487.631309,-17418.671171
258,3,1721923054635,290822.886495,-17683.287537
26,1,1714212619624,288125.46867,-12132.012015
18,1,1714064751171,295921.970688,-7628.659834
74,1,1715023018260,255882.638967,-12774.376132
74,1,1715023030157,251138.04281,-12733.847934
74,1,1715023153171,245550.215535,-10725.59564
74,1,1715023515781,245432.555211,-15338.751111
74,1,1715023567967,251089.836944,-8460.637426
74,1,1715023578202,252839.86827,-9565.919612
74,1,1715023588641,253910.686581,-10791.078444
74,1,1715023648179,252629.912297,-9626.311278
74,3,1715023979509,248324.300036,-12484.303584
74,3,1715024014185,251184.136089,-8181.721115
74,3,1715024023181,252827.195224,-9587.379705
74,3,1715024024643,252796.757579,-9581.613661
74,3,1715024185960,256856.649065,-7881.881652
74,3,1715024236656,247609.885005,-10746.732549
74,3,1715024238735,247716.209474,-10680.211353
74,3,1715024255837,251089.131459,-15003.864453
74,3,1715024308456,250987.307979,-10684.284405
74,3,1715024311779,252290.70774,-10792.315287
74,3,1715024383752,251833.629656,-10705.737753
102,1,1715817176121,170340.9676,-5760.552434
102,2,1715817442134,167583.189707,-12280.510557
186,1,1720452167728,89309.117699,-4020.872656
19,2,1714067449901,46721.931083,-3260.166356
19,3,1714067551569,43787.003303,-3218.514615
36,1,1714385659275,338055.916397,-13568.387422
36,1,1714385678442,343788.93074,-15352.812913
252,1,1721838860909,297696.134117,-9880.897772
252,2,1721839027592,299246.230519,-14412.164482
252,2,1721839042204,293430.630589,-14459.410036
252,3,1721839253578,295777.864225,-8933.440374
20,3,1689547163641,42643.999278,-5664.783848
107,3,1715957084190,173646.837604,-9312.552433
107,3,1715957225748,167311.477873,-7979.590838
107,3,1715957227213,167798.970914,-7981.028399
107,3,1715957290907,174554.328534,-7862.782794
117,2,1716246708757,1598.066993,-3490.722776
213,1,1720808343263,168276.266041,-7876.145406
213,1,1720808387300,174489.786086,-7728.650284
213,2,1720808596330,167512.611159,-7928.465587
213,2,1720808598211,167003.235483,-7958.064304
213,3,1720808852400,168661.505701,-7963.163547
213,3,1720808866320,166108.184712,-9020.372293
213,3,1720808879819,164061.553303,-7920.403654
221,3,1721059242637,123321.117869,-8922.611348
115,1,1716217740417,204701.997369,-9653.722301
115,1,1716217795301,206136.36393,-12730.698885
115,2,1716218237285,204629.907988,-11872.761584
115,2,1716218242507,204629.501055,-12770.902015
115,2,1716218268821,206165.681545,-14546.417761
115,2,1716218298610,206554.139516,-14573.01843
115,3,1716218344596,204808.705732,-9269.286744
115,3,1716218345639,204983.358625,-9306.163476
115,3,1716218349814,206611.866974,-9333.203488
78,1,1715084508747,45060.153851,-3743.581305
78,2,1715084583781,45534.648282,-4296.633995
78,3,1715084655478,43879.241329,-4233.667341
240,1,1721750146630,250801.313932,-10728.447545
240,2,1721750676326,244689.99888,-10759.662099
240,2,1721750721707,251063.18279,-16100.399113
240,2,1721750777540,258310.115765,-11767.769679
240,3,1721751036893,252117.647213,-10036.766006
240,3,1721751114605,251168.724264,-12303.109791
4,1,1713701674866,86744.992098,-3151.294228
4,1,1713701691994,89343.904593,-5840.13716
4,1,1713701710793,87947.184032,-4145.748443
4,1,1713701720399,86656.487789,-3184.900018
224,1,1721064478336,172828.970961,-9404.201629
224,1,1721064481887,173104.628973,-9400.400301
224,2,1721064649525,168909.653246,-4939.795943
224,2,1721064691250,166844.261837,-7852.545455
224,3,1721064783771,165413.927808,-12324.741593
224,3,1721064840259,167640.175997,-7857.742463
224,3,1721064841940,167523.548406,-7869.822211
224,3,1721064842137,167298.534948,-7883.804134
146,3,1719927165451,2477.979463,-2155.552803
249,1,1721834535460,246887.227035,-14724.713941
113,1,1715988456500,86366.996856,-3184.865212
113,1,1715988489612,89367.100844,-5959.557771
242,3,1721752181790,42361.687441,-3713.176732
242,3,1721752190902,44741.413054,-2565.748007
175,2,1720290417409,163140.60341,-7835.364327
175,2,1720290487251,168163.582121,-8855.15548
263,1,1722098200250,127892.131499,-5682.769334
141,2,1719925047619,131147.776865,-7693.286702
141,2,1719925055195,129112.717739,-7714.953211
141,2,1719925056941,128573.143835,-7706.983693
141,3,1719925210862,129525.280744,-4029.456272
70,1,1714944133632,256820.918128,-8580.150278
70,3,1714944444580,246201.861898,-14759.959718
70,3,1714944447890,246912.810243,-14724.072961
159,1,1720192819789,249272.18427,-15430.296806
159,1,1720192836748,251179.338789,-15698.064439
159,1,1720192891867,259389.68699,-12589.171141
159,2,1720193042721,255533.579681,-6734.98052
159,3,1720193230340,256635.119031,-8771.137912
72,1,1714988011886,247255.298324,-10758.826242
72,2,1714988415797,258614.937951,-12675.492496
72,2,1714988416635,258357.048593,-12685.964693
72,2,1714988418931,257713.163217,-12676.767237
72,3,1714988758289,248003.11181,-10736.45346
123,2,1716548890744,124075.521098,-8892.440947
94,2,1715616625303,3299.370476,-2687.596429
94,3,1715616679164,2021.128635,-2290.185119
94,3,1715616682716,2293.511839,-2252.454354
116,2,1716244965923,1154.871759,-2360.188968
198,1,1720627718938,246995.440245,-10792.425236
198,1,1720627759570,252232.100847,-10791.753477
198,2,1720628082832,251127.969956,-13944.182269
198,2,1720628084336,251165.47448,-14423.243465
198,3,1720628224962,245457.828545,-11091.062081
192,2,1720538816508,248285.623255,-10751.364158
192,2,1720538841543,245433.919253,-15394.747497
192,3,1720538977701,248270.575135,-12375.259528
192,3,1720538980414,248293.572298,-11256.713566
192,3,1720539048514,258679.309989,-12067.470073
192,3,1720539050604,259226.562003,-12472.597439
51,1,1714563084395,87988.717758,-3898.606794
164,1,1720198422670,206950.659927,-9307.889073
164,3,1720199855318,209418.869616,-9342.933315
164,3,1720199858868,209946.577528,-9345.656048
164,3,1720199885627,217103.339611,-10459.953768
164,3,1720199888328,217120.133257,-8873.370216
164,3,1720199899827,213816.997094,-5861.341537
10,1,1713871015578,253415.407398,-12673.29118
10,1,1713871016892,253857.600896,-12665.341185
10,3,1713871361120,249131.178273,-10758.359973
10,3,1713871362792,249933.228247,-10747.190158
134,1,1719581200536,170200.19283,-6483.618382
134,1,1719581202204,170193.083718,-6498.888988
134,1,1719581255670,170270.297076,-9374.378561
132,2,1719578437761,41811.382874,-3841.35754
157,2,1720189964903,1183.335381,-3329.256247
157,2,1720189965737,1157.306542,-2949.159619
31,3,1714236542446,209671.184333,-11019.183404
176,1,1720292708662,44527.277427,-3213.1397
85,1,1715274999579,301924.847396,-14150.574887
85,2,1715275169599,298871.53947,-12088.843466
47,3,1714486884676,172158.347419,-4928.376826
47,3,1714486981339,168131.4,-9309.891976
47,3,1714487006399,164112.918154,-7920.002449
27,2,1714217373770,344827.955006,-14224.683798
27,2,1714217455480,326824.899663,-14581.227864
27,2,1714217456927,326861.816068,-15418.136828
27,3,1714217559879,330429.504545,-16019.831734
222,2,1721060413407,215404.415116,-5849.250372
222,2,1721060415770,215418.953431,-5845.94734
222,2,1721060453696,211342.026451,-11104.223332
256,3,1721842255647,44721.420374,-2927.959138
57,3,1714688389152,130089.433452,-5345.809029
8,1,1713864040760,212959.32732,-5928.046961
8,1,1713864043625,213923.234894,-5928.547598
8,2,1713864232712,215017.741263,-11068.674413
8,2,1713864236252,214019.739431,-11066.290078
55,1,1714674732303,244625.575306,-10755.738806
55,1,1714674732934,244863.013142,-10757.763917
55,1,1714674733770,245101.227261,-10760.507012
55,1,1714674960226,251047.344103,-14082.503001
55,2,1714675180760,248300.528434,-16720.113156
55,3,1714675290356,251088.448577,-12156.456144
55,3,1714675293469,251108.807014,-11130.895689
88,2,1715363137338,88391.445568,-5375.58363
88,2,1715363221436,85917.14855,-4673.451331
88,2,1715363222465,86123.844101,-4541.281738
88,3,1715363414788,86580.388448,-3909.183884
111,1,1715972387696,325847.621857,-13517.411112
111,3,1715972943160,341114.783918,-10976.196505
202,3,1720713707297,244500.689862,-10776.369938
216,1,1720810265700,299328.303786,-14443.27211
216,1,1720810269251,300510.945006,-14460.258247
216,2,1720810337946,302312.149426,-11061.59194
216,2,1720810407638,291217.999592,-12124.041391
156,1,1720186937378,82497.61826,-5074.331421
156,1,1720186985384,85262.062934,-5538.237182
156,2,1720187158384,85275.869467,-6228.091852
90,1,1715444618787,213060.673499,-9352.843548
90,1,1715444621294,213846.07325,-9316.010783
90,1,1715444788252,215227.52907,-11078.42834
90,1,1715444887300,217120.184026,-9900.967339
90,3,1715445137802,204924.998423,-9325.778395
239,2,1721745806761,295817.283285,-9762.255725
259,2,1721924457910,212014.636557,-5870.24477
244,3,1721753815689,326895.498679,-15991.712374
244,3,1721753833469,328314.308519,-18543.729834
244,3,1721753986697,330375.849001,-15042.430754
262,3,1722096709641,84579.55513,-7908.468203
235,1,1721663106547,291880.932739,-12158.096636
235,2,1721663390996,292561.553321,-14621.164982
235,3,1721663534107,286327.375433,-12114.518129
155,1,1720018376638,252934.928508,-6721.213067
155,1,1720018380606,254263.986664,-6717.545043
182,2,1720369017452,167313.926054,-12288.569089
182,2,1720369019121,166987.087939,-12304.766845
182,2,1720369021625,166359.779419,-12337.07036
131,3,1719576982354,167648.146783,-7896.025362
131,3,1719577014640,172168.217437,-6419.858648
142,1,1719925257252,88916.970471,-5698.159538
142,2,1719925329211,89376.369482,-5315.47302
247,1,1721755190965,326176.844419,-13548.564163
247,1,1721755453270,344916.239073,-12493.507466
247,2,1721755575778,328800.812598,-21095.939525
247,3,1721755615237,329733.77397,-21080.502358
218,1,1720811567310,302309.4,-9025.642846
151,1,1719929696439,244308.860163,-10763.271274
151,1,1719929697324,244610.331074,-10759.295799
151,2,1719929904968,259639.612305,-11915.253695
151,3,1719930130314,251103.620451,-10804.055119
151,3,1719930179890,256631.745411,-8777.332662
220,2,1720814339842,245415.484076,-10962.456644
220,3,1720814555309,256757.075371,-9477.480413
110,3,1715963027625,298813.416082,-9909.068835
185,2,1720451224167,46756.600976,-2862.417261
229,1,1721233918243,3584.057617,-2250.299011
264,1,1722097986326,330455.017458,-13548.202417
264,1,1722097987770,330863.549564,-13556.982036
264,1,1722098001535,334955.176149,-13584.722562
264,1,1722098004458,336407.690455,-13541.525552
264,3,1722098381568,341039.551353,-10992.220014
211,1,1720805091556,128445.865955,-6557.470439
211,1,1720805170914,129569.628674,-7771.248785
211,1,1720805174258,130294.676577,-7773.093749
211,3,1720805481128,123574.867241,-6487.753511
211,3,1720805500401,125874.448356,-9588.232748
211,3,1720805535445,124106.440797,-6483.16661
211,3,1720805615196,130068.101703,-5229.722243
211,3,1720805654866,123388.596546,-6442.898923
211,3,1720805656949,123378.317372,-6434.98837
152,3,1719931453138,126159.817313,-6555.213109
22,2,1714126619260,214582.248966,-5831.876838
124,2,1716557098281,251116.496236,-12569.447453
124,2,1716557099536,251169.235003,-12144.726122
124,3,1716557200703,253944.77209,-7679.889181
161,2,1720194309956,1185.649384,-2737.800558
204,3,1720715888997,41909.299041,-5209.79061
97,1,1715642592820,247917.4443,-14761.865854
97,1,1715642598651,247136.656079,-14773.948094
97,1,1715642681943,248287.853314,-13044.419609
97,1,1715642763990,256813.753419,-8295.960703
97,1,1715642767528,256811.234775,-7274.431616
217,1,1720811245917,329308.016873,-13531.070356
217,1,1720811314330,333985.366656,-9459.372041
217,3,1720811587207,341278.777238,-12827.462738
76,1,1715037444343,291078.039527,-12217.746453
76,1,1715037480958,298482.245701,-12217.413624
76,1,1715037557135,302011.049061,-14459.902998
76,1,1715037722906,294767.832633,-7561.224204
76,2,1715037915746,292507.703218,-16446.077053
76,2,1715037918440,292526.404888,-17428.716896
76,3,1715038028933,289369.08459,-14211.563613
76,3,1715038150579,288471.599158,-16700.759132
76,3,1715038381795,290957.353005,-17713.234674
76,3,1715038581786,291457.101649,-18888.527648
180,1,1720360941238,251106.615727,-12737.216089
180,2,1720361068641,259647.867536,-9735.778557
180,3,1720361226926,254019.944912,-12735.676367
9,3,1713867294459,326856.504016,-16038.591035
265,2,1722099825601,343342.090983,-8464.474256
265,2,1722099925918,336308.805323,-11945.773064
265,2,1722099929262,336206.968776,-12025.247358
137,1,1719838244545,302251.679097,-8489.409792
137,1,1719838245798,302256.435092,-8754.525257
137,1,1719838247886,302259.261568,-9286.265725
108,2,1715959260700,286064.349417,-17730.605958
23,3,1714129935802,165962.091452,-10830.574779
166,2,1720201220460,209633.671775,-9301.593075
15,1,1714051177165,258283.174835,-6754.333935
15,3,1714051484750,259597.518042,-9342.75756
39,1,1714396621453,244733.294205,-10718.27552
39,1,1714396622289,244845.373335,-10718.608565
39,1,1714396716249,257543.59022,-11281.162919
39,1,1714396744429,258471.201294,-6691.177364
39,1,1714396847983,259625.379644,-12632.90612
39,1,1714396852368,259734.00965,-12373.1365
39,1,1714396926668,254847.047172,-6691.538299
39,1,1714396941916,256867.066912,-8752.999164
39,2,1714397256478,259730.341673,-10975.017649
39,2,1714397287558,258296.1082,-6688.79315
39,2,1714397291105,256749.300268,-6688.392426
39,2,1714397345372,259671.911864,-11005.873237
39,2,1714397387721,251156.793343,-7332.538406
194,1,1720547566791,124721.678118,-6484.270897
194,1,1720547568323,124963.184959,-6486.297211
194,1,1720547587679,128740.662614,-6499.273197
194,1,1720547631999,130203.657273,-4043.093175
194,1,1720547639764,128398.500881,-4053.422629
194,2,1720547946723,129342.733938,-4028.223254
194,3,1720548212847,124027.038048,-8967.200367
194,3,1720548215483,124529.832503,-8966.380772
194,3,1720548233731,126313.086606,-6520.011631
236,1,1721665650178,83811.942866,-5046.733375
236,1,1721665661456,86174.296069,-4505.889079
236,1,1721665702585,85056.595614,-5021.288596
236,3,1721666375675,84736.800768,-5108.496538
236,3,1721666387728,85268.681958,-6264.352917
236,3,1721666391730,85271.994225,-7040.259535
230,2,1721234200716,286114.671471,-16773.429513
133,1,1719582961713,43664.222524,-3664.059411
133,1,1719582962960,43901.218655,-3662.794759
133,1,1719582989869,44803.38072,-2238.940433
133,2,1719583100811,46764.581485,-2843.659659
120,3,1716391237135,335673.820394,-12430.361451
120,3,1716391240475,336530.614811,-11799.656962
199,3,1720630470167,292603.602074,-8569.510876
199,3,1720630535341,302301.915172,-14292.49563
214,2,1720808361463,341509.767307,-8498.732372
214,2,1720808364153,340987.172196,-8493.467224
214,2,1720808390675,336687.46897,-11663.142245
214,3,1720808568571,335838.783505,-12351.029192
215,3,1720810806748,205591.443153,-14495.718977
58,1,1714691642580,87016.069893,-4158.215818
58,1,1714691689560,87051.620806,-6027.840308
58,1,1714691835805,82583.548337,-6859.705105
106,1,1715873564912,215066.554351,-11069.604177
106,3,1715873845840,214492.641004,-7587.537519
172,3,1720281602488,129996.226578,-5352.305562
105,2,1715872691769,170240.138276,-4974.641828
105,2,1715872693231,170230.003579,-4988.152865
105,2,1715872701838,168577.664546,-7660.453414
203,1,1720715348601,216192.561082,-10365.263619
203,3,1720715864960,212770.018437,-7524.480499
169,2,1720278179838,300336.399575,-14434.411148
169,2,1720278221831,291260.890712,-17993.691949
169,3,1720278278376,287268.048957,-16652.563196
253,1,1721840665120,326831.724847,-14496.582412
253,1,1721840730250,328971.056815,-18567.549775
253,1,1721840762625,330045.74976,-13534.579449
253,1,1721840832253,344836.636534,-12088.957348
253,3,1721841108787,341066.309008,-11033.914595
209,1,1720803105323,84687.532477,-5060.691835
165,2,1720199011799,302263.796753,-11372.862537
165,2,1720199061724,293861.186493,-12184.580767
165,2,1720199065891,292822.690682,-12178.067286
165,3,1720199237795,286095.012557,-17864.379804
24,1,1714134074803,286299.759736,-12114.16681
24,1,1714134076683,286630.406335,-12124.689365
24,1,1714134102620,289403.91339,-14476.429994
24,2,1714134293134,293045.60133,-7617.196335
33,3,1714310999486,89367.338561,-5855.198742
174,1,1720288749402,163965.793121,-7923.121566
174,1,1720288753133,164435.249573,-7920.457326
174,2,1720289070254,168735.871915,-7511.343696
174,2,1720289126835,165361.792034,-12344.952342
71,1,1714947063110,127621.677622,-7680.036817
179,3,1720296213988,330136.785296,-13567.450001
179,3,1720296224208,330416.61065,-16327.679105
179,3,1720296245590,335957.407346,-12218.956354
7,1,1713799349620,328985.692685,-13570.282625
7,1,1713799352308,329903.055184,-13594.603726
7,1,1713799397717,337562.32043,-13570.252551
7,1,1713799425704,341897.136503,-14075.278243
7,2,1713799643836,337593.20943,-8996.161339
234,1,1721320083497,208511.514315,-13762.248577
32,1,1714239544916,1777.108226,-2287.08141
61,1,1714756336575,212231.640927,-5804.475009
61,2,1714756448600,211544.567121,-8024.616097
61,2,1714756460369,209703.401171,-10904.365727
61,2,1714756463903,209678.82481,-12095.996951
100,3,1715801521460,211065.031926,-5795.359671
77,2,1715371814274,174020.043133,-9056.904417
77,2,1715371852456,167455.237923,-7849.970904
77,3,1715372019400,166060.329556,-9845.407614
44,1,1714415053293,167192.859758,-7899.409111
